heavy_atom_idx,degree,hybridization,in_ring,is_aromatic,formal_charge,partial_charge,num_H_neighbors,num_heavy_neighbors,neighbor_atomic_nums,neighbor_C_count,neighbor_O_count,neighbor_N_count,neighbor_S_count,neighbor_Halogen_count,dist_to_O,dist_to_N,dist_to_aromatic,in_symmetric_env,ppm,nb_atoms,multiplicity,couplings
7,4,SP3,1,0,0,-0.03226877434352666,2,2,"6,6",2,0,0,0,0,6,2,2,53,33.4,2,s,[]
8,4,SP3,1,0,0,-0.051333367576388345,2,2,"6,6",2,0,0,0,0,7,3,3,49,25.8,2,s,[]
9,4,SP3,1,0,0,-0.05315352477052999,2,2,"6,6",2,0,0,0,0,8,4,4,46,26.3,1,s,[]
10,4,SP3,1,0,0,-0.051333367576388345,2,2,"6,6",2,0,0,0,0,7,3,3,49,25.8,2,s,[]
11,4,SP3,1,0,0,-0.03226877434352666,2,2,"6,6",2,0,0,0,0,6,2,2,53,33.4,2,s,[]
12,3,SP2,1,1,0,0.054785661695779544,0,3,"7,6,6",2,0,1,0,0,3,1,1,41,141.6,1,s,[]
13,3,SP2,1,1,0,-0.00727935455357418,1,2,"6,6",2,0,0,0,0,4,2,1,37,116.0,1,s,[]
14,3,SP2,1,1,0,0.11535771385429487,0,3,"6,7,6",2,0,1,0,0,3,1,1,33,138.9,1,s,[]
16,4,SP3,1,0,0,0.026312887968938766,1,3,"7,6,6",2,0,1,0,0,5,1,2,55,52.0,1,s,[]
17,4,SP3,1,0,0,-0.03288134339876421,2,2,"6,6",2,0,0,0,0,6,2,3,51,33.6,2,s,[]
18,4,SP3,1,0,0,-0.05135561324579312,2,2,"6,6",2,0,0,0,0,7,3,4,47,25.0,2,s,[]
19,4,SP3,1,0,0,-0.053154265074924524,2,2,"6,6",2,0,0,0,0,8,4,5,45,25.71,1,s,[]
20,4,SP3,1,0,0,-0.05135561324579312,2,2,"6,6",2,0,0,0,0,7,3,4,47,25.0,2,s,[]
21,4,SP3,1,0,0,-0.03288134339876421,2,2,"6,6",2,0,0,0,0,6,2,3,51,33.6,2,s,[]
22,3,SP2,1,1,0,0.29272024387161205,0,3,"6,7,6",2,0,1,0,0,2,1,1,34,129.25,1,s,[]
26,3,SP2,1,1,0,0.03144722326544673,1,2,"6,6",2,0,0,0,0,3,2,1,36,120.71,1,s,[]
27,3,SP2,1,1,0,0.05353533039514951,0,3,"6,6,6",3,0,0,0,0,2,2,1,40,126.5,1,s,[]
28,3,SP2,1,1,0,0.2036866010128969,0,3,"6,8,6",2,1,0,0,0,1,3,1,39,174.4,1,s,[]
1,4,SP3,0,0,0,0.11309127259268675,1,3,"7,6,6",2,0,1,0,0,2,1,-1,24,51.21,2,s,[]
2,4,SP3,0,0,0,0.029714458123811332,2,2,"6,16",1,0,0,1,0,3,2,-1,22,37.35,2,s,[]
5,4,SP3,0,0,0,0.029714458123811332,2,2,"16,6",1,0,0,1,0,3,2,-1,22,37.35,2,s,[]
6,4,SP3,0,0,0,0.11309127259268675,1,3,"6,7,6",2,0,1,0,0,2,1,-1,24,51.21,2,s,[]
8,3,SP2,0,0,0,0.32086494202186566,0,3,"6,8,8",1,2,0,0,0,1,2,-1,18,168.93,2,s,[]
11,3,SP2,0,0,0,0.32086494202186566,0,3,"6,8,8",1,2,0,0,0,1,2,-1,18,168.93,2,s,[]
0,4,SP3,0,0,0,-0.005561843118480727,3,1,6,1,0,0,0,0,2,-1,-1,16,30.7,1,s,[]
1,3,SP2,0,0,0,0.13192996764091672,0,3,"6,8,6",2,1,0,0,0,1,-1,-1,15,209.3,1,s,[]
3,4,SP3,0,0,0,0.03248098014440807,2,2,"6,6",2,0,0,0,0,2,-1,-1,18,48.9,1,s,[]
4,4,SP3,0,0,0,0.0713292334890815,1,3,"6,8,6",2,1,0,0,0,1,-1,-1,19,64.765,1,s,[]
6,4,SP3,0,0,0,0.07176319372973106,2,2,"6,6",2,0,0,0,0,2,-1,-1,17,41.2,1,s,[]
7,3,SP2,0,0,0,0.30548523033878255,0,3,"6,8,8",1,2,0,0,0,1,-1,-1,14,172.7,1,s,[]
0,4,SP3,0,0,0,0.03554824665289858,3,1,8,0,1,0,0,0,1,4,6,37,58.82,1,s,[]
2,4,SP3,0,0,0,0.06384848993857428,2,2,"8,6",1,1,0,0,0,1,2,4,42,68.42,1,s,[]
3,4,SP3,0,0,0,0.04432692922757077,2,2,"6,7",1,0,1,0,0,2,1,3,43,52.84,1,s,[]
5,4,SP3,0,0,0,0.045699848433107766,2,2,"7,6",1,0,1,0,0,3,1,1,41,54.8,1,s,[]
6,3,SP2,1,1,0,-0.02857430284501884,0,3,"6,6,6",3,0,0,0,0,4,2,1,35,134.61,1,s,[]
7,3,SP2,1,1,0,-0.057252129506016186,1,2,"6,6",2,0,0,0,0,5,3,1,32,128.3,2,s,[]
8,3,SP2,1,1,0,-0.06192711598379428,1,2,"6,6",2,0,0,0,0,6,4,1,30,128.57999999999998,2,s,[]
9,3,SP2,1,1,0,-0.06224649522637383,1,2,"6,6",2,0,0,0,0,7,5,1,29,127.2,1,s,[]
